id,type,text1,text2,text3,text4,text5,notes
,,,,,,,
,,,,,,,
,,,,,,,
###Abyss,,,,,,,
,,,,,,,
##Rework,,,,,,,
,,,,,,,
rat_abyss_sensor,CUSTOM,"A domain-era, high resolution monitoring array, capable of piercing even through the deepest depths of the abyss, much further than any individual fleet could. Its sensors illuminate what otherwise appears almost radio silent.",,,,,
rat_decaying_abyss_sensor,CUSTOM,"A domain-era, high resolution monitoring array, capable of piercing even through the deepest depths of the abyss, much further than any individual fleet could. It appears to be radio silent.",,,,,
rat_abyss_photosphere,CUSTOM,"This anomalous object appears to perform active fusion with abyssal matter gathered from around its vicinity. It doesn't appear to generate much heat or radiation, but emits a steady amount of light.",,,,,
rat_abyss_decaying_photosphere,CUSTOM,"A dying light in a vast sea of nothingness, even highly accurate sensors are almost unable to take note of it. The decomposition may be related to the low density of abyssal matter within the region.",,,,,
rat_abyss_photosphere_sierra,CUSTOM,"This anomalous object appears to perform active fusion with abyssal matter gathered from around its vicinity. It doesn't appear to generate much heat or radiation, but emits a steady amount of light.",,,,,
rat_abyss_colossal_photosphere,CUSTOM,"An immense photosphere, only possible through the local intensity of abyssal matter, emitting a gargantuan amount of light in to the local abyssal region. Despite the increased output, the intense amount of radiation does not appear to affect the fleet in any negative way.",,,,,
#rat_colossal_photosphere,PLANET,"An immense photosphere, emitting a gargantuan amount of light in to the local abyssal zone. Mysteriously despite the increased output, the intense amount of radiation does not appear to affect the fleet in any negative way.",,,,,
,,,,,,,
#Primordial,,,,,,,
rat_abyss_primordial_activator,CUSTOM,"A station of unknown purpose, it appears to emit insignificant bursts of energy at a steady interval.",,,,,
rat_abyss_primordial_fabricator,CUSTOM,"An abyssal fabricator, innitial scans confirm it to be in much better condition than those spread throughout the depths.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
#Items,,,,,,,
rat_abyssal_matter,RESOURCE,"A pure and refined form of abyssal matter, much more potent with energy than samples found just within the enviroment. It is unlikely that new replicas of this material could be created with the facilities remaining within the depths. It appears to react in a variety of ways to contact with matter and radiation.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
rat_fracture,CUSTOM,"A rift in spacetime, it appears to tear a way from hyperspace towards some other dimension. Sensors return wavelengths of yet unrecorded types of matter.",,,,,
rat_abyss_fracture_small,CUSTOM,"An area of collapsed space caused by the forceful exit of the abyssal depths, creating a temporary passage towards where the fleet came from.",,,,,
rat_abyss_rift_entrance,CUSTOM,"A heavily distorted area of spacetime. Closing in on it causes the rift to appear bigger and bigger, until it eventually completely surrounds what approaches it. Something seems to be generating it from inside.",,,,,
rat_abyss_rift_station,CUSTOM,A lone station standing in the center of this anomaly. This rift in spacetime seems to be generated by it.,,,,,
,,,,,,,
